,strain,type,rating,effects,taste
238,Black Velvet,hybrid,3.9,"Sleepy,Happy,Hungry,Relaxed,Euphoric","Sweet,Flowery,Citrus"
239,Black Widow,hybrid,4.1,"Happy,Relaxed,Euphoric,Sleepy,Uplifted","Earthy,Sweet,Pungent"
240,Blackberry,hybrid,4.2,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Berry,Sweet,Earthy"
241,Blackberry Bubble,indica,4.7,"Relaxed,Happy,Euphoric,Uplifted,Creative","Berry,Blueberry,Skunk"
242,Blackberry Chem Og,hybrid,4.3,"Talkative,Creative,Focused,Relaxed,Euphoric","Berry,Chemical"
243,Blackberry Cream,indica,4.8,"Relaxed,Happy,Uplifted,Sleepy,Euphoric","Berry,Sweet,Vanilla"
244,Blackberry Diesel,sativa,4.1,"Happy,Energetic,Relaxed,Euphoric,Talkative","Diesel,Spicy/Herbal,Pungent"
245,Blackberry Dream,hybrid,4.2,"Energetic,Uplifted,Relaxed,Talkative,Creative","Spicy/Herbal,Sweet,Grapefruit"
246,Blackberry Fire,hybrid,5,"Creative,Happy","Sweet,Berry,Blueberry"
247,Blackberry Hashplant,indica,3.7,"Euphoric,Sleepy,Uplifted,Energetic,Happy","Berry,Sweet,Earthy"
248,Blackberry Haze,sativa,4.5,"Happy,Relaxed,Uplifted,Hungry,Focused","Berry,Sweet,Spicy/Herbal"
249,Blackberry Kush,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Berry,Sweet,Earthy"
250,Blackberry Lime Haze,sativa,4.7,"Happy,Uplifted,Euphoric,Talkative,Focused","Berry,Sweet,Lime"
251,Blackberry Pie,hybrid,4.7,"Euphoric,Creative,Hungry,Relaxed,Happy","Sweet,Blueberry,Berry"
252,Blackberry Rhino,indica,4.3,"Relaxed,Happy,Creative,Hungry,Sleepy","Berry,Sweet,Spicy/Herbal"
253,Blackberry Trainwreck,hybrid,4.3,"Relaxed,Euphoric,Happy,Uplifted,Energetic","Berry,Sweet,Pungent"
254,Blackberry X Blueberry,indica,4.3,"Relaxed,Happy,Uplifted,Euphoric,Creative","Berry,Earthy,Blueberry"
255,Blackwater,indica,4.6,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Berry,Grape"
256,Blaze,sativa,4.3,"Euphoric,Energetic,Talkative,Creative,Aroused","Blueberry,Sweet,Berry"
257,Blissful Wizard,hybrid,4.8,"Happy,Talkative,Euphoric,Relaxed,Uplifted","Earthy,Vanilla,Pungent"
258,Blizzard Bush,hybrid,None,None,None
259,Blob Og,hybrid,4.7,"Euphoric,Talkative,Uplifted,Creative,Happy","Diesel,Lemon,Chemical"
260,Blockhead,hybrid,4.2,"Relaxed,Happy,Hungry,Uplifted,Euphoric","Pungent,Woody,Flowery"
261,Bloos Kloos,indica,4.6,"Creative,Relaxed,Happy,Euphoric,Focused","Flowery,Earthy,Berry"
262,Blood Orange Kush,indica,5,"Sleepy,Uplifted,Euphoric,Happy,Creative","Diesel,Citrus,Orange"
263,Bloodhound,hybrid,4.2,"Happy,Relaxed,Focused,Talkative,Euphoric","Earthy,Sage,Spicy/Herbal"
264,Blowfish,hybrid,4.2,"Relaxed,Uplifted,Happy,Euphoric,Tingly","Spicy/Herbal,Pepper,Sage"
265,Blucifer,sativa,4.3,"Happy,Uplifted,Relaxed,Talkative,Focused","Blueberry,Spicy/Herbal,Berry"
266,Blue Afghani,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Blueberry,Woody,Pungent"
267,Blue Alien,indica,4.5,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Blueberry,Berry,Citrus"
268,Blue Bastard,indica,3.8,"Euphoric,Happy,Sleepy,Uplifted,Creative","Berry,Pine"
269,Blue Bayou,sativa,2.8,"Giggly,Uplifted,Creative,Happy,Sleepy",Sweet
270,Blue Blood,indica,4.2,"Relaxed,Sleepy,Hungry,Talkative,Focused","Sweet,Blueberry,Earthy"
271,Blue Boy,hybrid,4.1,"Happy,Relaxed,Giggly,Euphoric,Aroused","Earthy,Pungent,Flowery"
272,Blue Buddha,indica,4.9,"Relaxed,Euphoric,Sleepy,Uplifted,Happy","Blueberry,Citrus,Cheese"
273,Blue Champange,hybrid,4.4,"Uplifted,Happy,Relaxed,Creative,Euphoric","Sweet,Blueberry,Berry"
274,Blue Cheese,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Blue,Cheese,Cheese,Blueberry"
275,Blue Cinex,hybrid,4.7,"Focused,Uplifted,Happy,Energetic,Sleepy","Blueberry,Earthy"
276,Blue Cookies,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Creative","Berry,Blueberry,Sweet"
277,Blue Crack,hybrid,4.2,"Happy,Relaxed,Uplifted,Energetic,Focused","Blueberry,Sweet,Berry"
278,Blue Diamond,indica,4.4,"Euphoric,Relaxed,Happy,Sleepy,Talkative","Sweet,Tree,Fruit,Pineapple"
279,Blue Diesel,hybrid,4.4,"Relaxed,Euphoric,Uplifted,Happy,Creative","Blueberry,Diesel,Berry"
280,Blue Dot,sativa,4.7,"Energetic,Happy,Relaxed,Focused,Uplifted","Earthy,Pungent,Berry"
281,Blue Dragon,hybrid,4.4,"Euphoric,Uplifted,Relaxed,Happy,Giggly","Blueberry,Berry,Sweet"
282,Blue Dream,hybrid,4.4,"Relaxed,Happy,Uplifted,Euphoric,Creative","Blueberry,Berry,Sweet"
283,Blue Dynamite,indica,4.3,"Relaxed,Euphoric,Focused,Creative,Sleepy","Berry,Spicy/Herbal,Pine"
284,Blue Frost,hybrid,4.5,"Uplifted,Happy,Relaxed,Euphoric,Creative","Blueberry,Cheese,Menthol"
285,Blue Galaxy,hybrid,4.7,"Relaxed,Happy,Talkative,Creative,Energetic","Berry,Earthy,Blueberry"
286,Blue God,indica,4.7,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Berry,Sweet,Blueberry"
287,Blue Goo,hybrid,4.1,"Happy,Uplifted,Creative,Energetic,Talkative","Berry,Skunk,Pine"
288,Blue Hash,hybrid,4.4,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Sweet,Blueberry,Earthy"
289,Blue Hawaiian,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Energetic","Citrus,Earthy,Sweet"
290,Blue Haze,hybrid,4.3,"Uplifted,Euphoric,Relaxed,Happy,Energetic","Blueberry,Sweet,Flowery"
291,Blue Heron,hybrid,4.7,"Relaxed,Sleepy,Talkative,Happy,Uplifted","Woody,Spicy/Herbal,Pine"
292,Blue Ivy,hybrid,4.4,"Relaxed,Focused,Hungry,Happy,Talkative","Earthy,Pepper,Blueberry"
293,Blue Jay Way,hybrid,4.5,"Relaxed,Uplifted,Focused,Sleepy,Euphoric","Sweet,Citrus,Blueberry"
294,Blue Kiss,hybrid,4.7,"Relaxed,Talkative,Creative,Euphoric,Focused","Sweet,Berry,Blueberry"
295,Blue Knight,indica,4.7,"Relaxed,Uplifted,Hungry,Happy,Focused","Berry,Blueberry,Sweet"
296,Blue Kripple,indica,3.4,"Sleepy,Euphoric,Hungry,Relaxed,Tingly","Earthy,Grape"
297,Blue Kush,hybrid,4.5,"Relaxed,Uplifted,Euphoric,Creative,Hungry","Blueberry,Pine,Lemon"
298,Blue Lights,indica,4.5,"Relaxed,Euphoric,Happy,Tingly,Uplifted","Blueberry,Earthy,Berry"
299,Blue Magic,sativa,4.6,"Relaxed,Focused,Aroused,Sleepy,Euphoric","Citrus,Lemon,Tropical"
300,Blue Magoo,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Giggly","Earthy,Sweet,Pungent"
301,Blue Monster,indica,4.7,"Relaxed,Hungry,Talkative,Sleepy,Happy","Berry,Sweet,Diesel"
302,Blue Moon Rocks,hybrid,4.6,"Relaxed,Happy,Uplifted,Euphoric,Focused","Berry,Strawberry,Lavender"
303,Blue Moonshine,indica,4.2,"Happy,Relaxed,Euphoric,Sleepy,Focused","Earthy,Berry,Woody"
304,Blue Mountain Fire,sativa,4,"Euphoric,Relaxed,Tingly,Uplifted,Happy","Flowery,Earthy,Tar"
305,Blue Mystic,indica,4.2,"Happy,Relaxed,Giggly,Energetic,Sleepy","Blueberry,Earthy,Sweet"
306,Blue Nightmare,hybrid,4.7,"Euphoric,Relaxed,Happy,Giggly,Creative","Berry,Earthy,Blueberry"
307,Blue Nina,hybrid,4.5,"Happy,Talkative,Giggly,Tingly,Euphoric","Blueberry,Flowery"
308,Blue Og,hybrid,4.3,"Relaxed,Happy,Euphoric,Hungry,Uplifted","Blueberry,Berry,Earthy"
309,Blue Ox,indica,4.5,"Sleepy,Relaxed,Hungry,Talkative,Uplifted","Berry,Flowery,Blueberry"
310,Blue Persuasion,hybrid,4.1,"Relaxed,Tingly,Euphoric,Happy,Hungry","Sweet,Blueberry,Berry"
311,Blue Power,indica,4.7,"Relaxed,Tingly,Happy,Uplifted,Euphoric","Berry,Earthy,Sweet"
312,Blue Rhino,hybrid,4.3,"Sleepy,Relaxed,Focused,Uplifted,Hungry","Blueberry,Sweet,Berry"
313,Blue Satellite,sativa,3.9,"Uplifted,Happy,Euphoric,Talkative,Relaxed","Sweet,Blueberry,Citrus"
314,Blue Sky,hybrid,4.6,"Happy,Relaxed,Uplifted,Euphoric,Creative","Earthy,Sweet,Pine"
315,Blue Steel,indica,4.3,"Uplifted,Relaxed,Euphoric,Happy,Talkative","Spicy/Herbal,Blueberry,Earthy"
316,Blue Thai,hybrid,3.7,"Relaxed,Happy,Talkative,Uplifted,Focused","Earthy,Pungent,Woody"
317,Blue Train,hybrid,4.4,"Happy,Uplifted,Energetic,Focused,Relaxed","Blueberry,Berry,Sweet"
318,Blue Trane,hybrid,None,None,None
319,Blue Treat,hybrid,4.9,"Relaxed,Focused,Happy,Uplifted,Creative","Earthy,Berry,Blueberry"
320,Blue Velvet,hybrid,4.3,"Happy,Relaxed,Euphoric,Uplifted,Focused","Sweet,Earthy,Diesel"
321,Blue Venom,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Pine,Blueberry,Berry"
322,Blue Widow,hybrid,4.2,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Sweet,Berry,Earthy"
323,Blue Wonder,hybrid,5,"Uplifted,Happy,Euphoric,Focused,Relaxed",Blueberry
324,Blue Wreck,hybrid,4.7,"Sleepy,Happy,Euphoric,Relaxed,Uplifted","Blueberry,Earthy,Honey"
325,Blue Zkittlez,indica,4.9,"Aroused,Creative,Happy,Relaxed,Euphoric","Berry,Sweet,Flowery"
326,Blue Zombie,indica,4.7,"Relaxed,Euphoric,Hungry,Sleepy,Happy","Pungent,Earthy,Pepper"
327,Blueberry,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Blueberry,Berry,Sweet"
328,Blueberry Ak,hybrid,4.9,"Energetic,Relaxed,Euphoric,Happy,Sleepy","Blueberry,Sweet,Pungent"
329,Blueberry Blast,sativa,4.4,"Happy,Uplifted,Euphoric,Energetic,Talkative","Blueberry,Berry,Sweet"
330,Blueberry Bomb,hybrid,5,Relaxed,"Berry,Citrus"
331,Blueberry Cheesecake,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Tingly","Blueberry,Sweet,Cheese"
332,Blueberry Diesel,hybrid,4.2,"Uplifted,Happy,Euphoric,Relaxed,Focused","Blueberry,Diesel,Sweet"
333,Blueberry Dream,sativa,4.6,"Uplifted,Sleepy,Happy,Relaxed,Focused","Sweet,Flowery,Pine"
334,Blueberry Essence,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Blueberry,Sweet,Mango"
335,Blueberry Haze,hybrid,4.2,"Happy,Euphoric,Creative,Uplifted,Energetic","Blueberry,Berry,Sweet"
336,Blueberry Headband,hybrid,4.3,"Relaxed,Happy,Uplifted,Talkative,Euphoric","Blueberry,Berry,Earthy"
337,Blueberry Jack,hybrid,4.3,"Relaxed,Happy,Creative,Giggly,Hungry","Blueberry,Pine,Berry"
338,Blueberry Kush,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Blueberry,Berry,Sweet"
339,Blueberry Lambsbread,hybrid,4.8,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Blueberry,Sweet,Earthy"
340,Blueberry Muffins,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Creative","Blueberry,Sweet,Earthy"
341,Blueberry Og,hybrid,4.6,"Happy,Hungry,Giggly,Euphoric,Talkative","Blueberry,Berry,Flowery"
342,Blueberry Pancakes,hybrid,4.5,"Relaxed,Sleepy,Hungry,Happy,Euphoric","Blueberry,Berry,Sweet"
343,Blueberry Pie,hybrid,4.4,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Blueberry,Earthy,Berry"
344,Blueberry Silvertip,hybrid,4.6,"Happy,Uplifted,Giggly,Relaxed,Euphoric","Blueberry,Berry,Flowery"
345,Blueberry Skunk,indica,4.3,"Euphoric,Relaxed,Uplifted,Creative,Happy","Blueberry,Skunk,Berry"
346,Blueberry Space Cake,indica,5,"Euphoric,Relaxed,Tingly,Happy,Giggly","Tropical,Berry,Blueberry"
347,Blueberry Trainwreck,hybrid,4.4,"Happy,Uplifted,Energetic,Focused,Relaxed","Blueberry,Berry,Sweet"
348,Blueberry Triple Og,indica,4,None,None
349,Blueberry Waltz,indica,4.8,"Talkative,Uplifted,Euphoric,Happy,Giggly","Sweet,Blueberry,Tropical"
350,Blueberry Yum Yum,hybrid,4.6,"Happy,Uplifted,Euphoric,Relaxed,Giggly","Blueberry,Sweet,Berry"
351,Blues,hybrid,4,"Happy,Relaxed,Uplifted,Creative,Sleepy","Sweet,Earthy,Berry"
352,Blukashima,hybrid,5,Creative,None
353,Bluniverse,hybrid,4.7,"Euphoric,Uplifted,Happy,Tingly,Creative","Blueberry,Berry,Vanilla"
354,Blurple,hybrid,4.3,"Happy,Euphoric,Energetic,Hungry,Focused","Grape,Sweet,Flowery"
355,Blush,hybrid,5,"Talkative,Creative,Happy,Hungry,Relaxed","Pepper,Honey,Earthy"
356,Bob Saget,sativa,4.8,"Uplifted,Happy,Relaxed,Creative,Talkative","Sage,Chemical,Diesel"
357,Bodega Bubblegum,hybrid,None,None,None
358,Bogart,hybrid,4,"Happy,Talkative,Uplifted,Euphoric,Giggly","Sweet,Citrus,Tropical"
359,Boggle Gum,hybrid,4,"Happy,Relaxed,Hungry,Sleepy,Giggly","Sweet,Earthy,Grape"
360,Booger,hybrid,4.7,"Happy,Focused,Uplifted,Creative,Giggly","Earthy,Skunk,Diesel"
361,Bootlegger,hybrid,None,"Sleepy,Giggly,Hungry,Tingly,Happy","Sweet,Earthy,Pungent"
362,Bordello,hybrid,4.5,"Relaxed,Euphoric,Uplifted,Happy,Creative","Sweet,Citrus,Pine"
363,Boss Hogg,hybrid,4.5,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Earthy,Sweet,Citrus"
364,Brain Candy,hybrid,5,Creative,Sweet
365,Brains Damage,indica,4.4,"Euphoric,Focused,Relaxed,Sleepy,Hungry","Earthy,Woody,Sweet"
366,Brainstorm Haze,sativa,3.9,"Talkative,Happy,Uplifted,Focused,Energetic","Sweet,Minty,Earthy"
367,Brainwreck,hybrid,4.7,"Creative,Focused,Uplifted,Happy,Euphoric","Citrus,Earthy,Sweet"
368,Brand X,indica,5,"Sleepy,Relaxed,Hungry,Happy,Euphoric","Earthy,Pine,Tar"
369,Brandywine,indica,4.5,"Relaxed,Happy,Uplifted,Tingly,Euphoric","Grape,Rose,Honey"
370,Brazil Amazonia,sativa,4.5,"Uplifted,Euphoric,Focused,Happy,Relaxed","Spicy/Herbal,Berry,Earthy"
371,Brian Berry Cough,hybrid,4.5,"Happy,Uplifted,Relaxed,Energetic,Hungry","Berry,Tropical,Sweet"
372,Bright Fire,indica,5,"Hungry,Relaxed,Uplifted,Creative,Euphoric","Pungent,Earthy,Citrus"
373,Bright Moments,hybrid,None,None,None
374,Bronze Whaler,indica,None,"Hungry,Relaxed",None
375,Brooklyn Mango,hybrid,4.9,"Euphoric,Aroused,Uplifted,Happy,Talkative","Mango,Tropical,Citrus"
376,Bruce Banner,hybrid,4.6,"Happy,Euphoric,Uplifted,Relaxed,Creative","Earthy,Diesel,Pungent"
377,Bruce Banner 3,hybrid,4.6,"Euphoric,Relaxed,Happy,Uplifted,Energetic","Sweet,Earthy,Flowery"
378,Bubba Berry,indica,5,"Sleepy,Happy,Relaxed",None
379,Bubba Doja,indica,4,None,None
380,Bubba Fresh,hybrid,5,"Aroused,Sleepy,Tingly,Uplifted,Creative","Citrus,Earthy,Pine"
381,Bubba Hash,indica,None,None,None
382,Bubba Kush,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Sweet,Woody"
383,Bubba Og,indica,4.3,"Happy,Relaxed,Sleepy,Euphoric,Uplifted","Earthy,Sweet,Pungent"
384,Bubba Tom Hayes,hybrid,4.9,"Euphoric,Happy,Uplifted,Creative,Talkative","Earthy,Pungent,Ammonia"
385,Bubba X Skunk,hybrid,5,"Creative,Euphoric,Relaxed,Happy,Tingly","Diesel,Skunk,Pine"
386,Bubbas Bitch,indica,4,"Sleepy,Tingly,Uplifted,Hungry,Relaxed","Flowery,Rose,Earthy"
387,Bubbas Gift,indica,4.6,"Relaxed,Euphoric,Happy,Uplifted,Focused","Sweet,Flowery,Berry"
388,Bubble Cheese,indica,3.8,"Relaxed,Hungry,Sleepy,Tingly,Talkative","Blue,Cheese,Cheese,Pungent"
389,Bubble Gum,hybrid,4.1,"Happy,Relaxed,Euphoric,Uplifted,Hungry","Sweet,Flowery,Berry"
390,Bubbleberry,hybrid,4.4,"Happy,Relaxed,Focused,Uplifted,Hungry","Sweet,Berry,Blueberry"
391,Bubblegum Kush,indica,4.3,"Relaxed,Happy,Sleepy,Uplifted,Talkative","Sweet,Earthy,Flowery"
392,Bubblegun,hybrid,3.8,"Happy,Focused,Aroused,Talkative,Uplifted","Pepper,Mint,Blueberry"
393,Bubblicious,hybrid,4.3,"Happy,Relaxed,Talkative,Giggly,Uplifted","Sweet,Blueberry,Berry"
394,Buckeye Purple,indica,4.3,"Sleepy,Relaxed,Euphoric,Focused,Happy","Tropical,Diesel,Grape"
395,Buddha Haze,sativa,4.6,"Giggly,Happy,Uplifted,Euphoric,Talkative","Sweet,Earthy,Nutty"
396,Buddha Tahoe,indica,4.5,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Earthy,Pungent,Sweet"
397,Buddhas Hand,hybrid,4.7,"Focused,Euphoric,Energetic,Aroused,Uplifted","Citrus,Lemon,Pungent"
398,Buddhas Sister,indica,4.3,"Relaxed,Sleepy,Uplifted,Happy,Euphoric","Flowery,Earthy,Sweet"
399,Buffalo Bill,sativa,4.2,"Relaxed,Uplifted,Tingly,Euphoric,Happy","Earthy,Woody,Pine"
400,Bugatti Og,hybrid,4.6,"Relaxed,Happy,Uplifted,Hungry,Sleepy","Berry,Earthy,Pine"
401,Burkle,indica,4.9,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Berry,Flowery,Pungent"
402,Burmese Kush,hybrid,4.2,"Uplifted,Relaxed,Happy,Euphoric,Creative","Earthy,Pine,Pungent"
403,Burnt Cookies,hybrid,None,None,None
404,Butter Og,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Giggly","Butter,Sweet,Pungent"
405,Butterscotch,indica,4.3,"Relaxed,Euphoric,Focused,Creative,Sleepy","Pine,Citrus,Nutty"
406,C13 Haze,sativa,4.4,"Euphoric,Creative,Uplifted,Energetic,Giggly","Earthy,Pungent,Lemon"
407,C3,hybrid,5,None,None
408,C3Po,hybrid,4.3,"Relaxed,Hungry,Sleepy,Focused,Uplifted","Sweet,Pine,Lemon"
409,C4,hybrid,4.5,"Relaxed,Happy,Euphoric,Creative,Uplifted","Earthy,Flowery,Lime"
410,Cbd Blue Shark,hybrid,4.3,"Relaxed,Happy,Uplifted,Focused,Euphoric","Blueberry,Flowery,Earthy"
411,Cbd Critical Cure,indica,4.6,"Relaxed,Sleepy,Happy,Focused,Euphoric","Sweet,Earthy,Berry"
412,Cbd Critical Mass,indica,4.6,"Relaxed,Happy,Sleepy,Hungry,Uplifted","Earthy,Pungent,Menthol"
413,Cbd Kush,hybrid,4.5,"Relaxed,Happy,Focused,Uplifted,Euphoric","Earthy,Woody,Spicy/Herbal"
414,Cbd Lilly,sativa,4.5,"Focused,Happy,Sleepy,Energetic,Euphoric",Citrus
415,Cbd Mango Haze,sativa,4.4,"Focused,Relaxed,Uplifted,Energetic,Euphoric","Mango,Tropical,Flowery"
416,Cbd Ox,indica,5,"Aroused,Sleepy,Happy,Euphoric,Hungry","Sweet,Berry,Flowery"
417,Cbd Rich Blessing,sativa,None,None,None
418,Cbd Shark,indica,4.5,"Relaxed,Tingly,Happy,Sleepy,Euphoric","Pungent,Nutty,Earthy"
419,Chr Super Og,indica,4.3,"Relaxed,Giggly,Sleepy,Happy,Talkative","Skunk,Diesel,Sweet"
420,Cabbage Patch,hybrid,4.4,"Relaxed,Happy,Uplifted,Giggly,Energetic","Menthol,Grapefruit,Nutty"
421,Cackleberry,hybrid,None,None,None
422,Cactus,indica,4.6,"Euphoric,Happy,Uplifted,Relaxed,Hungry","Citrus,Earthy,Pungent"
423,Cactus Cooler,hybrid,4.5,"Creative,Euphoric,Focused,Happy,Energetic","Citrus,Earthy,Sweet"
424,Cadillac Purple,indica,4.2,"Relaxed,Sleepy,Tingly,Happy,Hungry","Berry,Earthy,Grape"
425,Cali Gold,hybrid,4.5,"Uplifted,Relaxed,Happy,Sleepy,Euphoric","Earthy,Pine,Skunk"
426,Cali Jack,hybrid,4.7,"Creative,Happy,Talkative,Uplifted,Euphoric","Diesel,Sweet,Skunk"
427,Cali Kush,hybrid,4.2,"Relaxed,Happy,Hungry,Euphoric,Uplifted","Earthy,Woody,Sweet"
428,California Grapefruit,indica,4.4,"Euphoric,Relaxed,Tingly,Talkative,Uplifted","Citrus,Grapefruit,Pepper"
429,California Hash Plant,indica,5,"Uplifted,Creative,Energetic,Giggly,Happy",Citrus
430,California Orange,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Giggly","Citrus,Orange,Sweet"
431,California Sour,hybrid,3.6,"Focused,Relaxed,Euphoric,Energetic,Uplifted","Lemon,Diesel,Citrus"
432,Calyx Og,hybrid,None,None,None
433,Cambodian,sativa,4.2,"Energetic,Talkative,Happy,Relaxed,Uplifted","Earthy,Tropical,Flowery"
434,Cambodian Haze,sativa,4.6,"Euphoric,Happy,Aroused,Creative,Relaxed","Sweet,Citrus,Lemon"
435,Candy Cane,indica,4.4,"Relaxed,Sleepy,Euphoric,Hungry,Happy","Sweet,Tropical,Pine"
436,Candy Jack,sativa,4.3,"Happy,Energetic,Euphoric,Creative,Focused","Skunk,Citrus,Pungent"
437,Candyland,sativa,4.6,"Happy,Uplifted,Energetic,Euphoric,Creative","Sweet,Earthy,Flowery"
438,Canna Tsu,hybrid,4.5,"Relaxed,Happy,Focused,Uplifted,Creative","Woody,Earthy,Grapefruit"
439,Cannasutra,indica,4.8,"Relaxed,Euphoric,Sleepy,Happy,Aroused","Earthy,Sweet,Berry"
440,Cannadential,hybrid,4.1,"Euphoric,Happy,Relaxed,Uplifted,Energetic","Earthy,Pungent,Diesel"
441,Cannalope Haze,sativa,4.2,"Happy,Relaxed,Energetic,Uplifted,Creative","Sweet,Tropical,Flowery"
442,Cannalope Kush,hybrid,4.5,"Uplifted,Happy,Relaxed,Euphoric,Focused","Sweet,Earthy,Woody"
443,Cannatonic,hybrid,4.3,"Relaxed,Happy,Uplifted,Focused,Euphoric","Earthy,Woody,Sweet"
444,Capers,indica,4.6,"Sleepy,Happy,Hungry,Relaxed,Uplifted","Pungent,Skunk,Earthy"
445,Capleton,hybrid,4,"Sleepy,Tingly,Euphoric,Giggly,Happy","Flowery,Lavender,Rose"
446,Captain America Og,hybrid,4.6,"Relaxed,Uplifted,Euphoric,Creative,Happy","Diesel,Berry,Orange"
447,Captains Cake,hybrid,4.7,"Euphoric,Relaxed,Energetic,Happy,Focused","Earthy,Citrus,Sweet"
448,Caramel Candy Kush,hybrid,4.6,"Relaxed,Happy,Focused,Creative,Talkative","Vanilla,Coffee,Sweet"
449,Caramel Kona Coffee Cookies,hybrid,None,None,None
450,Caramel Kona Coffee Kush,indica,4.5,"Relaxed,Uplifted,Tingly,Hungry,Happy","Coffee,Vanilla,Woody"
451,Caramelicious,hybrid,4.2,"Focused,Happy,Relaxed,Euphoric,Creative","Vanilla,Sweet,Coffee"
452,Caramella,indica,4.8,"Aroused,Euphoric,Relaxed","Menthol,Spicy/Herbal,Sweet"
453,Caramelo,sativa,4.1,"Energetic,Happy,Uplifted,Relaxed,Talkative","Sweet,Coffee,Vanilla"
454,Carl Sagan,hybrid,4.4,"Happy,Relaxed,Uplifted,Focused,Aroused","Sweet,Earthy,Pine"
455,Carnival,sativa,4.3,"Talkative,Uplifted,Happy,Energetic,Relaxed","Earthy,Pine"
456,Cascadia Kush,indica,4.6,"Relaxed,Tingly,Sleepy,Aroused,Uplifted","Sweet,Earthy,Flowery"
457,Casey Jones,sativa,4.2,"Uplifted,Happy,Energetic,Creative,Hungry","Earthy,Sweet,Citrus"
458,Cashus Clay,hybrid,4.2,"Uplifted,Euphoric,Happy,Talkative,Energetic","Earthy,Pungent,Butter"
459,Casper Og,indica,5,"Relaxed,Sleepy,Euphoric,Hungry,Uplifted","Earthy,Sweet,Pungent"
460,Cat Piss,sativa,3.9,"Happy,Uplifted,Euphoric,Relaxed,Talkative","Earthy,Woody,Blue,Cheese"
461,Cataract Kush,hybrid,4.4,"Relaxed,Happy,Hungry,Euphoric,Uplifted","Pungent,Citrus,Sweet"
462,Catfish,sativa,4.8,"Uplifted,Creative,Energetic,Euphoric,Happy","Earthy,Ammonia,Chemical"
463,Cello Sweet Og,hybrid,4,"Sleepy,Relaxed,Uplifted,Creative,Euphoric","Sweet,Spicy/Herbal,Pineapple"
464,Central American,sativa,4,"Relaxed,Euphoric,Happy,Hungry","Earthy,Diesel,Sweet"
465,Cerebro Haze,sativa,4.2,"Uplifted,Happy,Relaxed,Creative,Energetic","Pepper,Citrus,Vanilla"
466,Chairman Chem Sou,hybrid,4.4,"Energetic,Happy,Uplifted,Creative,Euphoric","Diesel,Pepper,Citrus"
467,Champagne Kush,hybrid,4.2,"Happy,Uplifted,Relaxed,Euphoric,Talkative","Citrus,Sweet,Earthy"
468,Charlie Sheen,hybrid,4.6,"Happy,Euphoric,Relaxed,Sleepy,Focused","Pine,Sweet,Lemon"
469,Charlottes Web,sativa,4.5,"Relaxed,Uplifted,Focused,Happy,Energetic","Earthy,Flowery,Sweet"
470,Cheese,hybrid,4.1,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Cheese,Earthy,Pungent"
471,Cheese Candy,hybrid,4.3,"Relaxed,Uplifted,Happy,Sleepy,Creative","Cheese,Sweet,Pungent"
472,Cheese Quake,hybrid,4.3,"Euphoric,Relaxed,Happy,Uplifted,Tingly","Earthy,Ammonia,Citrus"
473,Cheeseburger,hybrid,3.3,"Tingly,Uplifted,Relaxed,Aroused,Creative","Cheese,Pepper,Tea"
474,Cheesewreck,hybrid,4.3,"Happy,Relaxed,Uplifted,Creative,Euphoric","Cheese,Woody,Pungent"
475,Chem Crush,hybrid,4.1,"Talkative,Energetic,Happy,Creative,Uplifted","Sweet,Earthy,Pungent"
476,Chem Dog,indica,4.7,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Lavender,Sweet,Citrus"
477,Chem Jack,hybrid,5,"Talkative,Uplifted,Creative,Happy,Aroused","Earthy,Sweet,Flowery"
478,Chem Scout,indica,4.5,"Relaxed,Euphoric,Focused,Happy,Creative","Earthy,Skunk,Tea"
